#  No.   M* (M_sun)   R* (R_sun)  Rph (R_sun)  L* (L_sun)  Ltot (L_sun)   t (yr)
    1  1.06080E-02  7.31067E+00  0.00000E+00  8.66784E-02  4.55771E+00  1.06096E+02  
    2  1.12376E-02  7.34852E+00  0.00000E+00  1.00240E-01  4.81447E+00  1.12446E+02  
    3  1.19082E-02  7.32413E+00  0.00000E+00  1.23170E-01  5.13386E+00  1.19120E+02  
    4  1.26198E-02  7.30553E+00  0.00000E+00  1.46571E-01  5.46979E+00  1.26229E+02  
    5  1.33770E-02  7.31078E+00  0.00000E+00  1.66868E-01  5.80411E+00  1.33771E+02  
    6  1.41794E-02  7.34681E+00  0.00000E+00  1.85375E-01  6.13155E+00  1.41798E+02  
    7  1.50379E-02  7.35503E+00  0.00000E+00  1.98890E-01  6.49469E+00  1.50303E+02  
    8  1.59402E-02  7.33358E+00  0.00000E+00  2.18588E-01  6.91513E+00  1.59404E+02  
    9  1.68993E-02  7.27845E+00  0.00000E+00  2.55909E-01  7.40800E+00  1.68968E+02  
   10  1.79277E-02  7.20606E+00  0.00000E+00  3.02827E-01  7.96144E+00  1.79135E+02  
   11  1.90171E-02  7.17257E+00  0.00000E+00  3.36729E-01  8.49933E+00  1.90036E+02  
   12  2.01659E-02  7.13728E+00  0.00000E+00  3.57180E-01  9.05860E+00  2.01584E+02  
   13  2.13770E-02  7.11197E+00  0.00000E+00  3.71092E-01  9.63100E+00  2.13761E+02  
   14  2.26553E-02  7.08375E+00  0.00000E+00  3.81654E-01  1.02368E+01  2.26598E+02  
   15  2.40128E-02  7.09054E+00  0.00000E+00  3.97771E-01  1.08322E+01  2.40150E+02  
   16  2.54653E-02  7.03934E+00  0.00000E+00  4.06093E-01  1.15462E+01  2.54538E+02  
   17  2.69746E-02  6.92801E+00  0.00000E+00  4.04936E-01  1.24088E+01  2.69936E+02  
   18  2.85743E-02  6.80821E+00  0.00000E+00  4.04340E-01  1.33433E+01  2.85934E+02  
   19  3.03042E-02  6.68382E+00  0.00000E+00  4.06565E-01  1.43680E+01  3.02892E+02  
   20  3.21172E-02  6.55878E+00  0.00000E+00  4.10069E-01  1.54990E+01  3.21229E+02  
   21  3.40514E-02  6.43748E+00  0.00000E+00  4.12761E-01  1.67057E+01  3.40447E+02  
   22  3.60945E-02  6.31488E+00  0.00000E+00  4.14136E-01  1.80237E+01  3.60949E+02  
   23  3.82602E-02  6.18127E+00  0.00000E+00  4.20971E-01  1.94906E+01  3.82606E+02  
   24  4.05545E-02  6.04111E+00  0.00000E+00  4.28155E-01  2.11109E+01  4.05563E+02  
   25  4.30003E-02  5.98213E+00  5.98843E+00  4.51039E-01  2.26501E+01  4.29883E+02  
   26  4.56121E-02  5.89487E+00  6.11112E+00  4.56291E-01  2.42712E+01  4.55809E+02  
   27  4.83889E-02  5.76902E+00  6.25768E+00  4.46259E-01  2.62211E+01  4.83494E+02  
   28  5.13203E-02  5.63146E+00  6.41858E+00  4.27725E-01  2.83991E+01  5.12929E+02  
   29  5.43969E-02  5.51269E+00  6.58438E+00  3.98939E-01  3.06680E+01  5.44002E+02  
   30  5.76235E-02  5.42125E+00  6.74071E+00  3.56722E-01  3.29555E+01  5.76615E+02  
   31  6.10239E-02  5.35569E+00  6.88778E+00  3.13950E-01  3.52579E+01  6.10816E+02  
