# No.   M* (M_sun)   R* (R_sun)   Rph (R_sun)  L* (L_sun)  Ltot (L_sun)   t (yr)
    1  1.03896E-02  1.54493E+00  0.00000E+00  1.59602E-02  2.23266E-01  1.03957E+04  
    2  1.08064E-02  1.54602E+00  0.00000E+00  1.59115E-02  2.31234E-01  1.08054E+04  
    3  1.12468E-02  1.55352E+00  0.00000E+00  1.57893E-02  2.38669E-01  1.12388E+04  
    4  1.16955E-02  1.56375E+00  0.00000E+00  1.56288E-02  2.46074E-01  1.16968E+04  
    5  1.21594E-02  1.57753E+00  0.00000E+00  1.54500E-02  2.52996E-01  1.21634E+04  
    6  1.26467E-02  1.58882E+00  0.00000E+00  1.52985E-02  2.60511E-01  1.26459E+04  
    7  1.31445E-02  1.60351E+00  0.00000E+00  1.51387E-02  2.67842E-01  1.31527E+04  
    8  1.36659E-02  1.61709E+00  0.00000E+00  1.50078E-02  2.75452E-01  1.36704E+04  
    9  1.42257E-02  1.62950E+00  0.00000E+00  1.48996E-02  2.83613E-01  1.42127E+04  
   10  1.47947E-02  1.64626E+00  0.00000E+00  1.47908E-02  2.91664E-01  1.47949E+04  
   11  1.53743E-02  1.66240E+00  0.00000E+00  1.47268E-02  2.99879E-01  1.53867E+04  
   12  1.60006E-02  1.67775E+00  0.00000E+00  1.46879E-02  3.08300E-01  1.59894E+04  
   13  1.66414E-02  1.69165E+00  0.00000E+00  1.46712E-02  3.17732E-01  1.66408E+04  
   14  1.73008E-02  1.70576E+00  0.00000E+00  1.46839E-02  3.27276E-01  1.73073E+04  
   15  1.79833E-02  1.71931E+00  0.00000E+00  1.47214E-02  3.37138E-01  1.79931E+04  
   16  1.86953E-02  1.73451E+00  0.00000E+00  1.48000E-02  3.46999E-01  1.87029E+04  
   17  1.94413E-02  1.74269E+00  0.00000E+00  1.48977E-02  3.58627E-01  1.94433E+04  
   18  2.02258E-02  1.74411E+00  0.00000E+00  1.49884E-02  3.72145E-01  2.02192E+04  
   19  2.10534E-02  1.74267E+00  0.00000E+00  1.50857E-02  3.86962E-01  2.10351E+04  
   20  2.18955E-02  1.73988E+00  0.00000E+00  1.51988E-02  4.02910E-01  2.18958E+04  
   21  2.27790E-02  1.73535E+00  0.00000E+00  1.53294E-02  4.19601E-01  2.27716E+04  
   22  2.36704E-02  1.72950E+00  0.00000E+00  1.54691E-02  4.37477E-01  2.36904E+04  
   23  2.45979E-02  1.72237E+00  0.00000E+00  1.56301E-02  4.55966E-01  2.46175E+04  
   24  2.55892E-02  1.71327E+00  0.00000E+00  1.57860E-02  4.75808E-01  2.55821E+04  
   25  2.66057E-02  1.70361E+00  0.00000E+00  1.59726E-02  4.97248E-01  2.66131E+04  
   26  2.76770E-02  1.69251E+00  0.00000E+00  1.61583E-02  5.19834E-01  2.76703E+04  
   27  2.87593E-02  1.68050E+00  0.00000E+00  1.63310E-02  5.44030E-01  2.87844E+04  
   28  2.98869E-02  1.66797E+00  0.00000E+00  1.65315E-02  5.68986E-01  2.99100E+04  
   29  3.10955E-02  1.65462E+00  0.00000E+00  1.67487E-02  5.95495E-01  3.10828E+04  
   30  3.23410E-02  1.64104E+00  0.00000E+00  1.69755E-02  6.24108E-01  3.23397E+04  
   31  3.36620E-02  1.62651E+00  0.00000E+00  1.71829E-02  6.54273E-01  3.36350E+04  
   32  3.50085E-02  1.61202E+00  0.00000E+00  1.73983E-02  6.86472E-01  3.50089E+04  
   33  3.64220E-02  1.59733E+00  0.00000E+00  1.76279E-02  7.19868E-01  3.64092E+04  
   34  3.78470E-02  1.58306E+00  0.00000E+00  1.78588E-02  7.55039E-01  3.78794E+04  
   35  3.93285E-02  1.56895E+00  0.00000E+00  1.81155E-02  7.91024E-01  3.93614E+04  
   36  4.09108E-02  1.55417E+00  0.00000E+00  1.83418E-02  8.29144E-01  4.09022E+04  
   37  4.25330E-02  1.53970E+00  0.00000E+00  1.85797E-02  8.69927E-01  4.25477E+04  
   38  4.42445E-02  1.52529E+00  0.00000E+00  1.88426E-02  9.12315E-01  4.42349E+04  
   39  4.59802E-02  1.51133E+00  0.00000E+00  1.90950E-02  9.57104E-01  4.60148E+04  
   40  4.77949E-02  1.49760E+00  0.00000E+00  1.93690E-02  1.00311E+00  4.78200E+04  
   41  4.97419E-02  1.48332E+00  0.00000E+00  1.96124E-02  1.05203E+00  4.97073E+04  
   42  5.17476E-02  1.46972E+00  0.00000E+00  1.99022E-02  1.10431E+00  5.17322E+04  
   43  5.38670E-02  1.45587E+00  0.00000E+00  2.01548E-02  1.15903E+00  5.38182E+04  
   44  5.60145E-02  1.44272E+00  0.00000E+00  2.04258E-02  1.21675E+00  5.60224E+04  
   45  5.82471E-02  1.42944E+00  0.00000E+00  2.07232E-02  1.27629E+00  5.82558E+04  
   46  6.06185E-02  1.41600E+00  0.00000E+00  2.10409E-02  1.33905E+00  6.05778E+04  
   47  6.30283E-02  1.40289E+00  0.00000E+00  2.13480E-02  1.40583E+00  6.30440E+04  
   48  6.55341E-02  1.38988E+00  0.00000E+00  2.16504E-02  1.47465E+00  6.55502E+04  
   49  6.81939E-02  1.37669E+00  0.00000E+00  2.19823E-02  1.54721E+00  6.81563E+04  
   50  7.08929E-02  1.36380E+00  0.00000E+00  2.23249E-02  1.62447E+00  7.09225E+04  
   51  7.23768E-02  1.35693E+00  0.00000E+00  2.25323E-02  1.66433E+00  7.23117E+04  
   52  7.38242E-02  1.35033E+00  0.00000E+00  2.27288E-02  1.70708E+00  7.38253E+04  
   53  7.52585E-02  1.34402E+00  0.00000E+00  2.29619E-02  1.74907E+00  7.53016E+04  
   54  7.66995E-02  1.33773E+00  0.00000E+00  2.31800E-02  1.79108E+00  7.67646E+04  
   55  7.81658E-02  1.33138E+00  0.00000E+00  2.33800E-02  1.83374E+00  7.82345E+04  
   56  7.96761E-02  1.32504E+00  0.00000E+00  2.36443E-02  1.87743E+00  7.97301E+04  
   57  8.12481E-02  1.31843E+00  0.00000E+00  2.38675E-02  1.92295E+00  8.12706E+04  
   58  8.29006E-02  1.31159E+00  0.00000E+00  2.41431E-02  1.97080E+00  8.28741E+04  
   59  8.45586E-02  1.30482E+00  0.00000E+00  2.44089E-02  2.02096E+00  8.45596E+04  
   60  8.62499E-02  1.29802E+00  0.00000E+00  2.46367E-02  2.07179E+00  8.62509E+04  
   61  8.80010E-02  1.29114E+00  0.00000E+00  2.49181E-02  2.12413E+00  8.79760E+04  
   62  8.98402E-02  1.28409E+00  0.00000E+00  2.52224E-02  2.17883E+00  8.97621E+04  
   63  9.15837E-02  1.27754E+00  0.00000E+00  2.54974E-02  2.23538E+00  9.16381E+04  
   64  9.34151E-02  1.27083E+00  0.00000E+00  2.58016E-02  2.29047E+00  9.34165E+04  
   65  9.52931E-02  1.26409E+00  0.00000E+00  2.60424E-02  2.34830E+00  9.52846E+04  
   66  9.71762E-02  1.25753E+00  0.00000E+00  2.63399E-02  2.40764E+00  9.72002E+04  
   67  9.90292E-02  1.25127E+00  0.00000E+00  2.66324E-02  2.46716E+00  9.91210E+04  
   68  1.01058E-01  1.24459E+00  0.00000E+00  2.69098E-02  2.52731E+00  1.01011E+05  
